Inventario;Autore;Ambito culturale;Datazione;Titolo-soggetto;Materiali;Immagine;lsreferenceby
3283/C-IV;;fabbrica di Grottaglie - Puglia;;vaso con coperchio;maiolica;http://93.62.170.226/foto/M0001316.jpg;http://www.palazzomadamatorino.it/it/node/28617
3285/C;;manifattura di Savona;XVII;vaso;maiolica;http://93.62.170.226/foto/M0001318.jpg;http://www.palazzomadamatorino.it/it/node/28618
3286/C;;fabbrica Deruta;;brocca;;http://93.62.170.226/foto/M0001319.jpg;http://www.palazzomadamatorino.it/it/node/28619
3287/C;;manifattura dell'Emilia;ca. 1750 - ca. 1750;vaso con coperchio;maiolica;http://93.62.170.226/foto/M0001320.jpg;http://www.palazzomadamatorino.it/it/node/28620
3288/C;;manifattura dell'Italia settentrionale;XVII;Sant'Ambrogio e San Biagio;maiolica;http://93.62.170.226/foto/M0001321.jpg;http://www.palazzomadamatorino.it/it/node/8149
3289/C;;manifattura di Savona;XVII;stemma;maiolica;http://93.62.170.226/foto/M0001322.jpg;http://www.palazzomadamatorino.it/it/node/8150
3290/C;;manifattura di Savona;XVII;vaso con coperchio;maiolica;http://93.62.170.226/foto/M0001323.jpg;http://www.palazzomadamatorino.it/it/node/28621
3291/C;;manifattura di Savona;XVII;guerriero seduto;maiolica;http://93.62.170.226/foto/M0001324.jpg;http://www.palazzomadamatorino.it/it/node/8151
2647/C;;manifattura Ginori - Doccia;XVIII;dea dell'Abbondanza;porcellana bianca;http://93.62.170.226/foto/M0001932.jpg;http://www.palazzomadamatorino.it/it/node/8524
2654/C;;Cina - Compagnia delle Indie;XVIII;salsiera;porcellana;http://93.62.170.226/foto/M0001939A.jpg;http://www.palazzomadamatorino.it/it/node/28745
2655/C;;Cina - Compagnia delle Indie;XVIII;tazza con coperchio e piattino;porcellana;http://93.62.170.226/foto/M0001940.jpg;http://www.palazzomadamatorino.it/it/node/28746
2657/C;;Cina - Compagnia delle Indie;XVIII;zuppierina;porcellana;http://93.62.170.226/foto/M0001942.jpg;http://www.palazzomadamatorino.it/it/node/28747
2661/C;;manifattura Du Paquier - Vienna;XVIII;figure di cinesini/ cani di fo;porcellana;http://93.62.170.226/foto/M0001946.jpg;http://www.palazzomadamatorino.it/it/node/25247
2662/C;;manifattura Du Paquier - Vienna;XVIII;stemma;porcellana;http://93.62.170.226/foto/M0001947.jpg;http://www.palazzomadamatorino.it/it/node/8531
2667/C;;manifattura Du Paquier - Vienna;XVIII;Carlo VI imperatore d'Austria e consorte;porcellana;http://93.62.170.226/foto/M0001952A.jpg;http://www.palazzomadamatorino.it/it/node/8532
2670/C;;manifattura Du Paquier - Vienna;XVIII;amorino/ uccelli e fiori/ frutta;porcellana;http://93.62.170.226/foto/M0001955.jpg;http://www.palazzomadamatorino.it/it/node/25248
2671/C;;manifattura Du Paquier - Vienna;1735 - 1740;donna con maschera;porcellana;http://93.62.170.226/foto/M0001956.jpg;http://www.palazzomadamatorino.it/it/node/8534
2673/C;;manifattura Du Paquier - Vienna;1730 - 1735;lume da notte;porcellana;http://93.62.170.226/foto/M0001958.jpg;http://www.palazzomadamatorino.it/it/node/28754
2674/C;;manifattura Du Paquier - Vienna (1718-1744);XVIII;draghi/ cani di Fo/ figure di cinesi/ pagode/ uccelli;porcellana;http://93.62.170.226/foto/M0001959.jpg;http://www.palazzomadamatorino.it/it/node/25250
2675/C;;manifattura Du Paquier - Vienna (1718-1744);XVIII;busto di Elisabetta Cristina di Germania;porcellana;http://93.62.170.226/foto/M0001960.jpg;http://www.palazzomadamatorino.it/it/node/25251
2676/C;;manifattura Du Paquier - Vienna;XVIII;putti;porcellana;http://93.62.170.226/foto/M0001961.jpg;http://www.palazzomadamatorino.it/it/node/8535
2677/C;;manifattura Du Paquier - Vienna;XVIII;stemma/ insetti ed uccelli;porcellana;http://93.62.170.226/foto/M0001962.jpg;http://www.palazzomadamatorino.it/it/node/8536
